trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
155,False,"{'a': 0.2, 'e': 0.8563487636013172}",30,13,-64.86802457983818,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 1}",1
156,False,"{'a': 0.2, 'e': 0.8554924148377159}",20,0,-92.12043606913153,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
157,False,"{'a': 0.2, 'e': 0.8546369224228781}",25,0,-107.9097533212943,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
158,False,"{'a': 0.2, 'e': 0.8537822855004553}",30,0,-125.05984332175493,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
159,False,"{'a': 0.2, 'e': 0.8529285032149548}",30,0,-172.8181996917676,"{0: 19, 1: 2, 2: 3, 3: 4, 4: 2}",0
160,False,"{'a': 0.2, 'e': 0.8520755747117399}",35,0,-101.70163160619009,"{0: 24, 1: 3, 2: 6, 3: 1, 4: 1}",0
161,False,"{'a': 0.2, 'e': 0.8512234991370281}",20,0,-153.3862415506001,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",0
162,False,"{'a': 0.2, 'e': 0.8503722756378911}",20,9,-28.01923789272431,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 0}",1
163,False,"{'a': 0.2, 'e': 0.8495219033622532}",25,0,-197.06898949811878,"{0: 16, 1: 0, 2: 4, 3: 1, 4: 4}",0
164,False,"{'a': 0.2, 'e': 0.8486723814588909}",20,0,-124.98272453656988,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
165,False,"{'a': 0.2, 'e': 0.847823709077432}",20,12,-10.737402578902167,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
166,False,"{'a': 0.2, 'e': 0.8469758853683546}",20,0,-98.93974050523975,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
167,False,"{'a': 0.2, 'e': 0.8461289094829862}",30,0,-127.39331951759561,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
168,False,"{'a': 0.2, 'e': 0.8452827805735033}",25,6,-81.614201604042,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 1}",1
169,False,"{'a': 0.2, 'e': 0.8444374977929298}",20,0,-42.05571138413944,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",1
170,False,"{'a': 0.2, 'e': 0.8435930602951368}",35,11,-171.0523654299652,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 3}",1
171,False,"{'a': 0.2, 'e': 0.8427494672348417}",20,0,-77.32519056887034,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
172,False,"{'a': 0.2, 'e': 0.8419067177676068}",20,11,-58.84050398996851,"{0: 4, 1: 1, 2: 2, 3: 2, 4: 0}",1
173,False,"{'a': 0.2, 'e': 0.8410648110498392}",25,0,-137.56732887799987,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
174,False,"{'a': 0.2, 'e': 0.8402237462387894}",20,0,-59.732595316390736,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
175,False,"{'a': 0.2, 'e': 0.8393835224925505}",20,0,-33.73159687228591,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
176,False,"{'a': 0.2, 'e': 0.838544138970058}",20,0,-129.64705597176305,"{0: 9, 1: 6, 2: 3, 3: 0, 4: 2}",0
177,False,"{'a': 0.2, 'e': 0.8377055948310879}",20,0,-60.26831400561882,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
178,False,"{'a': 0.2, 'e': 0.8368678892362568}",25,0,-87.72271397880571,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
179,False,"{'a': 0.2, 'e': 0.8360310213470206}",30,1,-186.0264663996046,"{0: 17, 1: 1, 2: 6, 3: 3, 4: 2}",1
180,False,"{'a': 0.2, 'e': 0.8351949903256736}",25,0,-85.08312773493532,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
181,False,"{'a': 0.2, 'e': 0.8343597953353479}",20,0,-196.4828115418149,"{0: 6, 1: 5, 2: 6, 3: 0, 4: 3}",0
182,False,"{'a': 0.2, 'e': 0.8335254355400126}",25,1,-59.78710079964863,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 0}",1
